season,vq1,vq1a,vq1b,vq1c,vq1d,vq1e,vq2,vq2a_1,vq2a_2,vq2a_3,vq2a_4,vq2a_5,vq17,vq17_1,vq17_2,vq17_3,vq17_4,vq17_5,vq17_6,vq17_7,vq17_8,vq17_9,vq17_10,vq17_11,vq17_12,vq17_13,vq17a1_1,vq17a1_2,vq17a1_3,vq17a2_1,vq17a2_2,vq17a2_3,vq17a2_4,vq17a3_1,vq17a3_2,vq17a3_3,vq17a3_4,vq17a4_1,vq17a4_2,vq17a4_3,vq17a4_4,vq17a5_1,vq17a5_2,vq17a5_3,vq17a6_1,vq17a6_2,vq17a6_3,vq17a6_4,vq17a6_5,vq17a7_1,vq17a7_2,vq17a7_3,vq17a8_1,vq17a8_2,vq17a8_3,vq17a8_4,vq17a8_5,vq17a9_1,vq17a9_2,vq17a9_3,vq17a10_1,vq17a10_2,vq17a11_1,vq17a11_2,vq17a11_3,vq17a11_4,vq17a12_1,vq17a12_2,vq17a13_1,vq17a13_2,vq18,vq18a_1,vq18a_2,vq18a_3,vq18a_4,vq18a_5,vq18b_1,vq18b_2,vq18b_3,vq18b_4,vq18b5,vq18_1,vq18_1a_1,vq18_1a_2,vq18_1a_3,vq18_1a_4,vq18_1a_5,vq18_1a_6,vq19,vq19a,vq19_1,vq19_1a_1,vq19_1a_2,vq19_1a_3,vq19_1a_4,vq19_1a_5,vq19_1a_6,vq20,vq21,vq31,vb1,vb2,vb3,vb4,vb5,vb6,vb7,q1_year,weight
1,2,1,0,0,1,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,6,2,1,2,3,4,5,6,7,,2,1,2,5,6,7,8,0,,6,9,3,6,3,7,2,2,,0.710698
4,5,2,3,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,5,5,5,1,7,2,1,1,1.591507
2,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,2,1,2,3,4,5,6,1,,1,,,,,,,0,,1,5,5,5,1,6,2,1,,1.277513
1,1,0,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,2,2,,,,,,12,,2,5,,,,,,0,,1,5,5,5,1,6,2,1,,1.241315
2,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,11,2,,,,,,,,,,6,8,3,12,2,1,3,1,,1.227878
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,8,3,12,2,1,3,1,,1.190479
4,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,11,2,13,4,2,1,1,0,0.730318
3,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,11,1,,,,,,,,,,6,11,2,13,2,1,1,1,,0.799468
2,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,1,,,,,,,0,,6,11,2,13,4,1,1,1,,0.899741
1,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,1,,,,,,,0,,6,11,2,13,4,2,1,1,,0.916948
1,12,6,6,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,,2,1,2,3,4,5,6,11,1,,,,,,,,,,6,5,6,2,1,7,10,2,,0.912332
2,8,7,0,0,0,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,10,3,5,3,7,1,2,,0.713526
1,2,0,0,2,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,1,,,,,,,,,,6,10,3,5,3,8,1,2,,0.745017
4,3,2,0,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,10,,2,6,7,8,,,,0,,6,9,5,2,2,8,2,1,1,0.754646
3,2,2,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,1,,,,,,,12,,2,2,4,6,,,,0,,6,9,4,6,2,7,2,1,,0.757116
2,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,11,1,,,,,,,,,,6,10,4,6,2,6,2,1,,0.799162
1,2,1,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,1,,2,2,4,,,,,0,,1,9,4,6,2,7,2,1,,0.778667
4,10,10,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,2,3,4,6,,11,1,,,,,,,,,,6,9,3,11,2,4,3,2,1,0.634933
3,5,5,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,1,,,,,,,12,,2,5,6,7,8,,,0,,6,9,3,13,2,5,3,2,,0.654338
2,5,5,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,1,6,,,,,11,1,,,,,,,,,,6,9,3,13,2,4,3,2,,0.698493
1,3,2,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,,,,2,1,2,3,4,5,6,11,1,,,,,,,,,,6,9,3,13,2,2,3,2,,0.712363
4,2,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,4,,,,,11,1,,,,,,,,,,6,6,4,11,2,8,1,2,1,0.895567
3,1,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,2,4,,,,12,,1,,,,,,,0,,2,6,4,11,2,8,1,2,,0.822631
2,1,1,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,1,,,,,,,11,1,,,,,,,,,,6,6,4,11,2,9,1,2,,0.980575
1,1,0,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,2,1,,,,,,13,,2,5,6,7,8,,,0,,6,6,4,11,2,7,1,2,,0.958543
4,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,2,3,,,,,,11,1,,,,,,,,,,6,10,2,13,2,4,2,1,1,0.67046
3,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,4,,1,,,,,,,0,,6,10,2,13,2,5,2,1,,0.753933
2,1,0,0,0,1,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,10,2,13,2,4,2,1,,0.799162
1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,11,2,13,2,4,2,1,,0.912692
2,0,0,0,0,0,0,12,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,4,,,,,,,,,,,11,2,,,,,,,,,,6,5,6,3,2,7,1,1,,1.287273
1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0,,6,5,6,3,2,8,1,1,,1.247104
1,4,2,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,1,,,,,,,,,,6,6,5,4,2,9,1,1,,1.37566
4,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,6,5,6,1,8,1,1,0,1.460041
3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,1,,,,,,,0,,6,6,5,6,1,7,1,1,,1.284177
2,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,2,3,5,,,,,0,,6,6,5,6,1,7,1,1,,1.364349
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,12,,1,,,,,,,0,,6,6,5,6,1,7,1,1,,1.37566
4,6,6,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,2,,1,,,,,,,0,,1,8,3,5,2,8,10,1,1,1.099754
2,1,1,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,5,,,1,,,,,,,11,1,,,,,,,,,,6,8,3,5,2,8,10,1,,1.216056
1,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,8,,1,,,,,,,0,,6,9,3,5,2,8,10,1,,0.777554
4,3,3,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,2,,,,,,3,,1,,,,,,,0,,6,3,5,6,1,6,1,1,1,1.569364
3,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,10,,1,,,,,,,0,,6,3,5,5,1,6,1,1,,1.650614
2,1,0,1,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,11,2,,,,,,,,,,6,3,5,5,1,6,1,1,,1.165319
1,1,0,0,1,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,,,2,6,,,,,,12,,2,8,,,,,,0,,1,3,5,5,1,5,1,1,,1.338734
1,0,0,0,0,0,0,12,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,,,,,,,,9,,2,3,4,5,6,7,8,0,,6,5,3,9,2,5,3,1,,1.244224
4,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,6,4,11,2,5,3,2,1,0.901505
3,1,0,0,0,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,2,5,,,,,,13,,2,6,7,8,,,,0,,6,6,4,11,2,6,3,2,,0.824944
2,2,0,1,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,12,,1,,,,,,,0,,6,6,4,11,2,6,3,2,,0.979342
1,2,0,1,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,11,1,,,,,,,,,,6,6,4,11,2,5,3,2,,0.95633
1,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,8,3,11,2,1,10,2,,0.841372
4,1,1,0,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,12,,1,,,,,,,0,,6,7,4,12,2,2,2,1,1,1.078192
3,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,12,,1,,,,,,,0,,6,7,4,12,2,10,2,1,,1.069676
2,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,12,,1,,,,,,,0,,1,7,4,13,2,1,2,1,,1.220103
1,1,0,0,1,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,7,4,13,2,3,2,1,,1.187696
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,2,4,5,6,7,,,0,,6,1,2,14,1,1,2,1,,2.255387
1,4,4,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,2,,2,6,7,8,,,,0,,6,2,3,14,1,1,3,2,,1.24477
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,5,5,5,1,6,1,2,,0.917899
4,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,0,,6,5,5,4,1,5,1,2,1,1.059923
3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,0,,6,5,5,3,1,6,1,2,,1.134508
2,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,12,,2,1,2,3,5,6,7,0,,6,5,5,3,1,5,1,2,,0.9049
1,1,0,1,0,0,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,12,,2,1,5,6,7,8,,0,,6,5,5,3,1,5,1,2,,0.917899
4,1,0,1,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,,,,2,3,,,,,,1,,1,,,,,,,0,,6,8,3,11,2,2,10,2,1,0.778327
3,0,0,0,0,0,0,12,1,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,5,,,,,,,,,11,2,,,,,,,,,,6,8,3,11,2,2,10,2,,0.711447
2,2,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,2,3,4,5,2,1,2,3,4,5,6,11,1,,,,,,,,,,6,8,3,11,2,2,10,2,,0.827296
1,5,5,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,8,3,11,2,4,10,2,,0.841372
1,8,5,3,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,1,,,,,,,3,,2,5,,,,,,0,,6,5,5,5,1,7,1,2,,0.917899
4,3,1,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,10,1,13,2,3,1,1,1,0.683106
3,1,1,0,0,0,0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,4,,,,1,,,,,,,11,2,,,,,,,,,,6,10,1,13,2,1,1,1,,0.765647
2,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,11,2,,,,,,,,,,6,10,1,13,2,2,1,1,,0.805267
1,1,0,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,11,1,,,,,,,,,,6,10,1,13,2,5,1,1,,0.894776
4,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,9,2,13,2,1,10,1,0,0.769738
3,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,,1,,,,,,,0,,6,9,2,13,2,1,10,1,,0.76656
2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,9,2,13,2,1,10,1,,0.78266
1,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,9,2,13,2,2,10,1,,0.777554
1,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,1,2,14,1,2,2,2,,3.045336
4,9,6,1,2,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,1,6,,,,,11,1,,,,,,,,,,6,10,5,13,2,8,2,2,1,0.641176
3,6,3,2,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,11,1,,,,,,,,,,6,10,5,13,2,8,2,2,,0.647192
2,2,0,2,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,1,,,,,,,11,1,,,,,,,,,,6,10,5,13,2,8,2,2,,0.708117
1,4,3,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,1,,,,,,,,,,6,10,5,13,2,8,2,2,,0.741559
4,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,6,3,4,3,9,1,1,1,1.460041
3,0,0,0,0,0,0,12,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,,,,,,,,11,2,,,,,,,,,,6,6,3,4,3,10,1,1,,1.284177
2,0,0,0,0,0,0,12,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,4,,,,,,,,,,11,2,,,,,,,,,,6,6,3,4,3,9,1,1,,1.364349
1,3,2,0,1,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,3,4,3,10,1,1,,1.37566
4,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,6,1,1,8,1,1,1,1.460041
3,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,6,1,1,8,1,1,,1.284177
2,0,0,0,0,0,0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,11,2,,,,,,,,,,6,6,6,1,1,8,1,1,,1.364349
1,1,1,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,6,1,1,8,1,1,,1.37566
1,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,12,,1,,,,,,,0,,6,6,4,3,2,7,3,1,,1.372484
4,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,6,2,3,14,1,2,18,2,0,1.278312
3,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,6,2,3,14,1,2,18,2,,1.665568
2,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,3,,1,,,,,,,0,,6,2,3,14,1,1,18,2,,1.102914
1,0,0,0,0,0,0,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,11,2,,,,,,,,,,6,2,3,14,1,2,18,2,,1.248476
4,4,3,1,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,1,,,,,,,,,,6,11,1,13,2,2,2,1,1,0.716798
3,2,2,0,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,,,,1,,,,,,,12,,2,6,,,,,,0,,6,11,1,13,2,2,2,1,,0.787237
2,2,2,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,1,,,,,,,11,1,,,,,,,,,,6,11,1,13,2,2,2,1,,0.89292
1,3,3,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,2,,,,,,8,,1,,,,,,,0,,6,11,1,13,2,2,2,1,,0.912692
1,1,0,0,0,1,0,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,11,2,,,,,,,,,,6,6,3,6,2,6,2,2,,0.954093
4,3,3,0,0,0,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,3,,,,,,11,1,,,,,,,,,,6,9,4,13,2,5,2,1,1,0.754646
