season,vq22,vq22a,vq23,vq23_1,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,q30,q30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30e_1_1,vq30e_1_2,vq30e_1_3,vq30e_1_4,vq30e_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
1,30,29,1,1,16,,,,,,,,,,3,,,,,3,3,,,,,1,2,,,,,2,,,,,7,7,35000,35000,7,1,2,4,,,12,7,1,,,,,,8,3,13,2,2,4,2,0.872521
1,5,4,1,1,12,,,,,,,,,,1,3,,2,7,1,4,,,,,2,,,,,,2,,,,,7,7,35000,35000,1,,,,,,1,1,1,,,,,,11,1,6,2,6,1,2,0.521769
1,35,34,1,1,16,,,,,,,,,,3,,,,,4,,,,,,2,,,,,,2,,,,,8,0,40000,0,7,4,,,,,12,9,1,,,,,,7,5,6,2,8,12,2,1.094333
1,35,34,1,2,16,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,8,0,40000,0,1,,,,,,1,5,1,,,,,,4,4,8,2,3,2,2,1.715331
1,6,5,1,2,5,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,8,0,40000,0,1,,,,,,1,7,1,,,,,,7,6,2,2,8,18,1,0.87478
1,11,10,1,1,4,,,,,,,,,,2,,,,,4,,,,,,1,2,4,,,,2,,,,,8,0,40000,0,2,2,,,,,1,4,1,,,,,,5,6,6,1,9,2,1,2.198116
1,5,4,1,1,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,4,6,,,2,,,,,8,0,40000,0,1,,,,,,8,5,1,,,,,,9,6,13,2,7,6,2,0.332364
1,5,4,1,1,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,3,4,,,2,,,,,8,0,40000,0,1,,,,,,8,9,1,,,,,,4,6,1,2,7,16,2,0.381073
1,5,4,1,2,4,,,,,,,,,,1,3,,2,7,4,,,,,,1,2,7,,,,2,,,,,8,0,40000,0,8,1,2,,,,1,4,1,,,,,,5,5,6,1,5,2,2,0.620021
1,7,6,1,2,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,,,,,2,,,,,8,0,40000,0,1,,,,,,5,8,1,,,,,,6,5,11,2,5,2,2,0.692385
1,6,5,1,1,12,,,,,,,,,,1,3,,1,3,4,,,,,,1,2,4,7,,,2,,,,,8,0,40000,0,1,,,,,,7,1,1,,,,,,6,6,3,2,8,5,2,0.694564
1,10,9,1,1,8,,,,,,,,,,1,3,,1,7,4,,,,,,1,1,2,3,4,,2,,,,,8,0,40000,0,6,65,,,,,9,1,1,,,,,,6,6,2,1,8,2,2,0.790343
1,4,3,1,1,12,,,,,,,,,,1,3,,2,13,4,,,,,,2,,,,,,2,,,,,8,0,40000,0,1,,,,,,4,6,1,,,,,,11,5,13,2,7,2,2,0.872543
1,7,6,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,4,6,,,2,,,,,8,0,40000,0,5,2,,,,,8,10,1,,,,,,5,6,11,2,2,8,2,0.986315
1,4,3,1,2,12,,,,,,,,,,1,3,,2,1,4,,,,,,1,2,3,4,,,2,,,,,8,0,40000,0,3,5,,,,,8,9,1,,,,,,5,4,5,2,7,13,2,1.040974
1,4,3,1,2,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,3,4,5,7,2,,,,,8,0,40000,0,1,,,,,,1,5,1,,,,,,4,6,1,1,6,6,1,1.056574
1,13,12,1,1,4,,,,,,,,,,1,3,,2,7,4,,,,,,1,3,4,6,,,2,,,,,8,0,40000,0,7,1,3,5,,,11,11,1,,,,,,5,6,12,1,2,3,2,1.128203
1,10,9,1,1,29,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,4,7,,,2,,,,,8,0,40000,0,1,,,,,,1,6,1,,,,,,5,5,5,1,8,11,2,1.131732
1,10,9,1,1,4,,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,8,88,40000,3750,10,1,2,3,4,5,9,9,1,,,,,,8,4,5,2,5,3,2,0.436005
1,6,5,1,2,12,,,,,,,,,,1,3,,2,3,3,3,4,,,,1,2,,,,,2,,,,,8,2,40000,10000,4,2,,,,,8,3,1,,,,,,5,5,8,1,5,5,2,0.986205
1,5,4,1,1,7,,,,,,,,,,1,3,,2,4,2,5,,,,,2,,,,,,2,,,,,8,3,40000,15000,7,1,3,5,,,8,13,1,,,,,,4,5,5,2,6,6,2,0.379007
1,6,5,1,1,7,,,,,,,,,,1,3,,1,4,3,3,,,,,2,,,,,,2,,,,,8,3,40000,15000,1,,,,,,7,11,1,,,,,,6,6,6,2,3,1,2,0.693268
1,6,5,1,1,12,,,,,,,,,,1,3,,1,6,3,4,,,,,1,3,4,6,7,,2,,,,,8,3,40000,15000,1,,,,,,9,8,1,,,,,,6,5,5,2,6,5,2,0.694564
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,3,3,,,,,2,,,,,,2,,,,,8,5,40000,25000,1,,,,,,6,4,1,,,,,,6,3,8,2,5,5,1,0.876149
1,7,6,3,,2,,,,,,,,,,1,3,,2,3,1,5,,,,,2,,,,,,2,,,,,8,6,40000,30000,1,,,,,,1,2,1,,,,,,9,1,11,2,1,22,2,0.060661
1,5,4,1,1,12,,,,,,,,,,1,3,,2,7,1,3,5,,,,2,,,,,,1,1,,,,8,6,40000,30000,1,,,,,,5,7,1,,,,,,6,5,4,2,8,4,2,0.437758
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,1,4,,,,,2,,,,,,2,,,,,8,7,40000,35000,3,3,,,,,1,1,1,,,,,,7,3,11,2,1,4,2,0.240211
1,5,4,1,1,10,,,,,,,,,,1,3,,2,7,1,1,3,,,,2,,,,,,2,,,,,8,7,40000,35000,1,,,,,,7,7,1,,,,,,8,5,13,2,2,1,1,0.548244
1,5,4,1,2,12,,,,,,,,,,1,3,,2,3,3,1,2,,,,2,,,,,,2,,,,,8,7,40000,35000,7,1,2,3,,,8,11,1,,,,,,5,5,4,2,6,8,2,0.622042
1,14,13,1,1,30,,,,,,,,,,3,,,,,2,4,,,,,2,,,,,,2,,,,,8,8,40000,40000,5,4,,,,,1,9,1,,,,,,8,5,3,2,10,12,1,0.995755
1,5,4,1,2,6,,,,,,,,,,1,3,,2,4,1,2,4,,,,2,,,,,,2,,,,,8,8,40000,40000,1,,,,,,1,7,1,,,,,,6,5,5,2,6,4,2,0.437758
1,10,9,1,2,12,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,9,0,45000,0,3,4,,,,,88,8,1,,,,,,8,3,11,2,1,10,2,0.436305
1,15,14,1,1,16,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,9,0,45000,0,7,2,3,4,,,1,6,1,,,,,,5,5,3,1,8,2,2,1.122202
1,6,5,1,1,12,,,,,,,,,,1,3,,1,7,4,,,,,,1,2,4,,,,2,,,,,9,0,45000,0,1,,,,,,9,5,1,,,,,,4,5,6,1,5,1,2,0.599138
1,5,4,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,,,,,2,,,,,9,0,45000,0,7,2,,,,,1,7,1,,,,,,5,6,6,2,7,2,1,1.214469
1,9,8,1,1,12,,,,,,,,,,1,3,,1,3,4,,,,,,1,2,4,,,,2,,,,,9,0,45000,0,1,,,,,,1,11,1,,,,,,3,5,14,1,2,6,1,2.003328
1,8,7,1,1,1,2,,,,,,,,,2,,,,,3,1,3,,,,2,,,,,,2,,,,,9,1,45000,3750,1,,,,,,11,5,1,,,,,,7,4,12,2,9,3,1,0.872836
1,5,4,1,2,13,,,,,,,,,,1,3,,2,7,1,5,,,,,2,,,,,,2,,,,,9,5,45000,25000,1,,,,,,1,3,1,,,,,,7,5,3,2,7,6,1,0.549909
1,5,4,1,1,9,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,9,6,45000,30000,4,3,,,,,11,6,1,,,,,,8,4,6,3,6,1,1,0.548244
1,4,3,1,1,15,,,,,,,,,,1,1,1,,7,2,1,2,5,,,2,,,,,,2,,,,,9,6,45000,30000,4,1,3,,,,5,6,1,,,,,,6,6,3,2,9,4,1,1.46608
1,5,4,1,1,12,,,,,,,,,,1,3,,2,1,1,1,2,3,,,1,1,6,,,,2,,,,,9,7,45000,35000,1,,,,,,1,1,1,,,,,,6,6,3,2,8,3,1,0.878071
1,6,5,1,2,12,,,,,,,,,,1,3,,2,10,1,4,,,,,2,,,,,,2,,,,,9,7,45000,35000,5,2,,,,,11,4,1,,,,,,5,5,6,2,6,3,2,0.988369
1,7,6,1,2,7,,,,,,,,,,1,1,1,,3,1,4,,,,,2,,,,,,2,,,,,9,7,45000,35000,3,1,,,,,1,8,1,,,,,,4,5,5,1,7,3,1,1.001567
1,4,3,1,2,14,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,9,8,45000,40000,1,,,,,,1,9,1,,,,,,6,6,4,1,9,11,2,0.737371
1,5,4,1,1,9,,,,,,,,,,1,3,,2,7,1,3,,,,,1,1,6,,,,2,,,,,9,9,45000,45000,1,,,,,,5,9,1,,,,,,7,4,5,2,6,11,2,0.241648
1,6,5,1,1,29,,,,,,,,,,1,3,,1,13,1,2,3,,,,2,,,,,,1,1,,,,88,88,50000,50000,1,,,,,,88,88,1,,,,,,2,3,14,1,1,14,2,5.851169
4,12,11,1,1,15,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,10,0,51250,0,4,2,,,,,9,9,1,,,,,,8,6,2,2,9,2,1,1
1,36,35,1,2,30,,,,,,,,,,4,,,,,4,,,,,,1,2,,,,,2,,,,,10,0,51250,0,6,3,5,,,,14,11,1,,,,,,3,5,14,1,2,11,2,2.309618
1,12,11,1,1,2,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,10,0,51250,0,1,,,,,,1,10,1,,,,,,9,4,11,4,1,2,2,0.598975
1,10,9,1,1,15,,,,,,,,,,3,,,,,4,,,,,,2,,,,,,2,,,,,10,0,51250,0,1,,,,,,1,8,1,,,,,,8,6,2,2,9,2,1,0.991025
1,5,4,1,1,13,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,10,0,51250,0,1,,,,,,1,5,1,,,,,,8,5,2,2,10,2,1,0.547546
1,10,9,1,2,2,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,10,0,51250,0,1,,,,,,1,7,1,,,,,,7,6,2,2,8,18,1,0.998543
1,5,4,1,2,9,,,,,,,,,,1,1,1,,7,4,,,,,,1,2,4,,,,2,,,,,10,0,51250,0,1,,,,,,1,1,1,,,,,,8,5,11,2,6,4,2,0.240211
1,5,4,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,4,6,,,,2,,,,,10,0,51250,0,1,,,,,,11,1,1,,,,,,7,5,3,2,8,7,2,0.241807
1,5,4,1,1,12,,,,,,,,,,1,1,1,,10,4,,,,,,1,4,7,,,,2,,,,,10,0,51250,0,8,1,,,,,4,4,1,,,,,,6,5,5,2,8,10,2,0.439306
1,5,4,1,1,12,,,,,,,,,,1,3,,2,11,4,,,,,,1,2,3,4,6,,2,,,,,10,0,51250,0,3,4,,,,,4,4,1,,,,,,3,5,14,1,2,2,2,0.503845
1,5,4,1,1,13,,,,,,,,,,1,1,1,,3,4,,,,,,2,,,,,,2,,,,,10,0,51250,0,1,,,,,,1,1,1,,,,,,5,5,5,1,6,18,2,0.624725
1,6,5,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,1,2,4,5,6,2,,,,,10,0,51250,0,1,,,,,,88,88,1,,,,,,6,3,5,1,5,4,2,0.694113
1,6,5,1,1,4,,,,,,,,,,1,3,,2,3,4,,,,,,1,3,4,5,6,,2,,,,,10,0,51250,0,12,1,2,3,5,,10,8,1,,,,,,6,6,1,2,8,7,2,0.698724
1,5,4,1,1,11,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,4,,,,2,,,,,10,0,51250,0,1,,,,,,6,5,1,,,,,,11,3,13,2,5,2,1,0.710261
1,9,8,1,1,12,,,,,,,,,,1,1,1,,7,4,,,,,,1,2,,,,,2,,,,,10,0,51250,0,4,2,,,,,7,6,1,,,,,,6,6,5,2,8,2,2,0.790343
1,6,5,1,1,31,,,,,,,,,,1,1,2,,8,4,,,,,,1,2,4,,,,2,,,,,10,0,51250,0,1,,,,,,8,8,1,,,,,,7,4,3,1,9,1,1,0.869301
1,7,6,1,2,60,,,,,,,,,,1,3,,2,5,4,,,,,,1,1,2,4,,,2,,,,,10,0,51250,0,1,,,,,,10,2,1,,,,,,10,5,13,2,10,2,1,1.040808
1,12,11,1,2,6,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,4,,,,2,,,,,10,0,51250,0,1,,,,,,1,11,1,,,,,,6,5,6,1,6,2,1,1.580802
1,7,6,1,2,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,4,6,,,2,,,,,10,0,51250,0,1,,,,,,1,2,1,,,,,,3,5,6,1,5,6,1,1.755027
1,8,7,1,1,12,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,4,,,,2,,,,,10,0,51250,0,1,,,,,,1,4,1,,,,,,5,6,6,1,9,2,1,1.925672
1,21,20,1,1,7,,,,,,,,,,3,,,,,3,2,,,,,2,,,,,,2,,,,,10,2,51250,10000,12,4,,,,,1,9,1,,,,,,5,2,10,2,3,3,2,2.264151
1,6,5,1,1,12,,,,,,,,,,1,3,,2,4,3,3,,,,,1,3,4,,,,2,,,,,10,2,51250,10000,1,,,,,,8,9,1,,,,,,6,6,11,2,1,10,2,0.696567
1,6,5,1,2,12,,,,,,,,,,1,1,1,,1,2,2,3,,,,2,,,,,,2,,,,,10,2,51250,10000,1,,,,,,11,8,1,,,,,,6,6,3,2,10,2,1,1.384871
4,63,62,1,1,2,,,,,,,,,,2,,,,,3,65,,,,,2,,,,,,2,,,,,10,3,51250,15000,6,1,2,,,,1,7,16,65,,,,,5,6,3,1,8,1,1,1
1,7,6,1,1,12,,,,,,,,,,1,3,,2,4,2,5,,,,,1,3,,,,,2,,,,,10,5,51250,25000,1,,,,,,1,5,3,4,,,,,7,3,4,2,5,6,2,0.381573
1,4,3,1,1,13,,,,,,,,,,1,3,,2,3,1,6,,,,,2,,,,,,2,,,,,10,5,51250,25000,1,,,,,,3,1,1,,,,,,8,6,13,2,7,2,2,0.401211
1,5,4,1,1,12,,,,,,,,,,1,3,,2,7,1,2,3,5,,,2,,,,,,2,,,,,10,6,51250,30000,8,1,3,5,,,8,9,1,,,,,,4,5,4,1,8,1,2,0.37786
1,5,4,1,1,29,,,,,,,,,,1,3,,2,5,1,2,,,,,2,,,,,,2,,,,,10,6,51250,30000,4,2,3,5,,,1,8,1,,,,,,10,6,13,2,9,1,1,0.657247
1,5,4,1,1,7,,,,,,,,,,1,3,,2,5,1,1,2,,,,2,,,,,,2,,,,,10,7,51250,35000,3,3,,,,,9,5,1,,,,,,4,5,5,2,6,10,2,0.379658
1,5,4,1,1,7,,,,,,,,,,1,1,1,,4,3,2,3,,,,2,,,,,,2,,,,,10,7,51250,35000,1,,,,,,1,7,1,,,,,,7,5,2,2,10,8,1,0.54933
1,5,4,1,1,12,,,,,,,,,,1,3,,2,3,1,1,2,3,4,,2,,,,,,2,,,,,10,7,51250,35000,13,1,2,3,4,5,10,8,1,,,,,,8,3,4,2,8,19,1,0.551942
1,5,4,1,1,12,,,,,,,,,,1,3,,2,7,1,1,3,,,,2,,,,,,1,1,,,,10,7,51250,35000,1,,,,,,7,6,1,,,,,,6,6,5,1,8,2,1,0.8734
1,6,5,1,2,9,,,,,,,,,,1,3,,2,4,1,3,4,,,,2,,,,,,2,,,,,10,7,51250,35000,4,3,,,,,8,1,1,,,,,,11,3,2,2,6,1,1,1.127632
1,5,4,1,1,12,,,,,,,,,,1,1,1,,4,1,2,3,5,,,2,,,,,,2,,,,,10,8,51250,40000,5,2,5,,,,7,9,1,,,,,,8,4,5,2,6,2,2,0.239613
1,5,4,1,2,12,,,,,,,,,,1,1,1,,4,1,2,3,,,,2,,,,,,2,,,,,10,8,51250,40000,6,1,2,5,,,8,7,1,,,,,,6,5,5,2,8,2,2,0.436668
1,5,4,1,1,12,,,,,,,,,,1,3,,2,6,1,2,3,4,6,,2,,,,,,2,,,,,10,8,51250,40000,12,1,5,,,,1,4,1,,,,,,6,6,4,2,10,1,2,0.437225
1,5,4,1,1,12,,,,,,,,,,1,3,,1,6,1,1,3,,,,2,,,,,,2,,,,,10,8,51250,40000,1,,,,,,1,4,1,,,,,,6,6,1,2,9,3,2,0.439004
1,5,4,1,1,12,,,,,,,,,,1,1,1,,11,1,1,2,3,,,2,,,,,,2,,,,,10,8,51250,40000,5,2,4,,,,10,8,1,,,,,,7,6,2,2,10,2,1,0.547546
1,6,5,1,1,12,,,,,,,,,,1,3,,2,3,1,3,,,,,2,,,,,,2,,,,,10,8,51250,40000,1,,,,,,9,11,1,,,,,,8,6,2,2,9,5,1,0.870925
1,5,4,1,1,7,,,,,,,,,,1,3,,2,3,2,2,4,,,,2,,,,,,2,,,,,10,8,51250,40000,4,2,3,,,,1,1,1,,,,,,5,5,4,1,7,8,1,1.218426
1,5,4,1,1,60,,,,,,,,,,1,3,,2,12,1,4,,,,,2,,,,,,2,,,,,10,9,51250,45000,1,,,,,,1,3,1,,,,,,11,4,13,2,5,1,1,0.711167
1,4,3,1,1,12,,,,,,,,,,1,3,,2,3,1,1,,,,,1,6,,,,,2,,,,,10,10,51250,51250,1,,,,,,1,11,1,,,,,,4,5,3,2,10,16,1,1.062333
1,14,13,1,2,25,,,,,,,,,,1,3,,2,5,4,,,,,,1,2,4,,,,2,,,,,88,0,60000,0,5,2,,,,,1,9,1,,,,,,9,2,13,4,3,3,2,0.602178
1,7,6,1,1,15,,,,,,,,,,3,,,,,4,,,,,,1,2,4,,,,2,,,,,11,0,60000,0,1,,,,,,1,6,1,,,,,,5,6,5,1,10,5,2,0.986205
1,15,14,1,1,5,6,7,,,,,,,,3,,,,,4,,,,,,1,1,2,3,4,7,2,,,,,11,0,60000,0,1,,,,,,1,8,1,,,,,,5,5,4,2,9,4,1,2.203602
1,5,4,1,2,9,,,,,,,,,,1,1,8,,7,4,,,,,,1,2,4,,,,2,,,,,11,0,60000,0,1,,,,,,1,1,1,,,,,,8,5,11,2,6,4,2,0.240211
1,10,9,1,2,15,,,,,,,,,,1,3,,2,3,4,,,,,,1,2,3,4,5,,2,,,,,11,0,60000,0,1,,,,,,8,8,1,,,,,,8,3,11,2,1,4,2,0.434768
1,6,5,1,1,13,,,,,,,,,,1,3,,2,7,4,,,,,,1,2,3,4,,,2,,,,,11,0,60000,0,1,,,,,,1,3,1,,,,,,6,4,11,2,5,3,2,0.696088
1,16,15,1,2,21,,,,,,,,,,1,1,1,,9,4,,,,,,1,2,4,,,,2,,,,,11,0,60000,0,5,1,5,,,,10,12,1,,,,,,5,4,9,1,5,6,2,1.127045
1,5,4,1,1,12,,,,,,,,,,1,3,,2,1,4,,,,,,1,2,,,,,2,,,,,11,0,60000,0,4,1,,,,,9,2,1,,,,,,5,5,4,1,7,6,1,1.21971
1,12,11,1,2,12,,,,,,,,,,1,3,,2,3,4,,,,,,2,,,,,,2,,,,,11,0,60000,0,5,2,,,,,9,3,1,,,,,,11,5,13,2,1,1,1,1.287169
1,7,6,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,4,,,,2,,,,,11,0,60000,0,8,2,3,,,,8,5,1,,,,,,6,4,4,2,7,6,1,1.390848
1,9,8,1,1,12,,,,,,,,,,1,3,,1,7,4,,,,,,1,2,3,4,6,,2,,,,,11,0,60000,0,12,2,5,,,,1,4,1,,,,,,6,6,1,2,9,6,1,1.587625
1,5,4,1,2,13,,,,,,,,,,1,1,1,,3,1,2,3,6,,,2,,,,,,2,,,,,11,5,60000,25000,1,,,,,,1,6,1,,,,,,8,6,1,2,10,14,1,0.549761
1,5,4,1,1,5,6,,,,,,,,,1,3,,2,7,1,1,2,,,,1,1,,,,,2,,,,,11,7,60000,35000,5,2,5,,,,11,9,1,,,,,,6,5,6,2,8,3,2,0.439004
1,8,7,1,1,2,,,,,,,,,,1,3,,2,3,1,2,4,,,,2,,,,,,2,,,,,11,7,60000,35000,3,3,,,,,9,7,1,,,,,,9,3,2,2,6,1,1,1.150001
1,8,7,1,1,12,,,,,,,,,,1,3,,2,2,1,2,,,,,2,,,,,,2,,,,,11,8,60000,40000,1,,,,,,1,8,1,,,,,,6,4,5,1,7,3,2,0.696088
1,4,3,1,1,2,,,,,,,,,,1,1,1,,4,1,2,,,,,2,,,,,,2,,,,,11,8,60000,40000,3,3,,,,,11,7,1,,,,,,6,6,3,2,8,3,2,0.735072
1,6,5,1,1,12,,,,,,,,,,1,3,,2,2,1,6,,,,,2,,,,,,2,,,,,11,8,60000,40000,1,,,,,,11,1,1,,,,,,7,5,2,2,9,2,1,0.868193
1,6,5,1,2,60,,,,,,,,,,2,,,,,3,3,,,,,2,,,,,,2,,,,,11,9,60000,45000,8,1,4,,,,10,4,1,,,,,,5,5,4,2,7,3,2,0.988369
1,10,9,1,1,24,,,,,,,,,,1,3,,2,3,1,4,,,,,2,,,,,,2,,,,,11,88,60000,50000,1,,,,,,1,7,1,,,,,,11,1,11,4,1,3,2,0.948212
1,9,8,1,2,18,19,20,,,,,,,,1,3,,2,7,1,2,3,,,,2,,,,,,2,,,,,11,10,60000,51250,14,1,2,5,,,11,9,1,,,,,,6,4,11,2,1,5,2,0.79283
1,11,10,1,2,60,,,,,,,,,,1,3,,2,3,1,3,4,,,,2,,,,,,2,,,,,11,11,60000,60000,1,,,,,,1,1,1,,,,,,9,1,13,3,3,1,2,0.599739
1,10,8,1,1,22,23,,,,,,,,,1,3,,2,7,1,3,,,,,2,,,,,,2,,,,,11,11,60000,60000,1,,,,,,10,1,1,,,,,,6,4,6,2,7,4,2,0.792316
1,9,8,1,1,7,,,,,,,,,,1,1,1,,6,4,,,,,,1,1,2,3,4,6,2,,,,,12,0,70000,0,1,,,,,,9,5,1,,,,,,8,5,2,2,10,1,1,0.992289
1,9,8,1,1,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,3,4,6,,2,,,,,12,0,70000,0,1,,,,,,1,2,1,,,,,,6,4,3,2,8,6,1,1.587625
1,10,8,1,1,62,,,,,,,,,,1,3,,1,2,1,6,,,,,2,,,,,,2,,,,,12,7,70000,35000,1,,,,,,11,1,1,,,,,,6,5,12,1,7,6,2,0.793754
1,5,4,1,1,12,,,,,,,,,,1,3,,2,11,1,6,,,,,2,,,,,,2,,,,,12,7,70000,35000,1,,,,,,1,10,1,,,,,,5,5,8,1,10,5,1,1.21829
1,8,7,1,1,11,,,,,,,,,,1,3,,2,3,1,2,,,,,2,,,,,,2,,,,,12,9,70000,45000,1,,,,,,11,1,1,,,,,,10,3,2,2,6,13,1,1.04362
1,5,4,1,1,12,,,,,,,,,,1,3,,1,4,1,1,2,3,,,2,,,,,,2,,,,,12,10,70000,51250,1,,,,,,1,9,1,,,,,,8,5,3,2,7,20,2,0.241227
1,5,4,1,1,12,,,,,,,,,,1,1,1,,7,1,1,,,,,2,,,,,,2,,,,,12,10,70000,51250,1,,,,,,1,13,1,,,,,,9,5,13,2,7,6,2,0.332364
1,10,8,1,1,62,,,,,,,,,,1,3,,2,3,1,3,5,,,,2,,,,,,2,,,,,12,11,70000,60000,1,,,,,,88,7,1,,,,,,8,5,12,2,1,4,2,0.434768
1,6,5,1,2,12,,,,,,,,,,1,1,1,,65,1,2,,,,,2,,,,,,2,,,,,12,12,70000,70000,1,,,,,,9,1,5,4,,,,,7,6,2,2,10,2,2,0.379933
1,17,15,1,1,15,16,,,,,,,,,1,3,,2,7,4,,,,,,1,1,2,4,5,,2,,,,,88,0,75000,0,1,,,,,,88,6,1,,,,,,6,5,1,2,8,8,2,0.792919
1,13,12,1,1,18,19,62,,,,,,,,1,3,,2,3,1,6,,,,,2,,,,,,2,,,,,88,88,77500,75000,1,,,,,,88,12,1,,,,,,9,1,11,2,1,6,2,0.60156
1,5,4,1,2,12,,,,,,,,,,1,1,1,,4,4,,,,,,1,2,4,6,,,2,,,,,13,0,80000,0,1,,,,,,8,9,1,,,,,,3,5,4,1,5,16,2,0.508778
1,7,6,1,1,12,,,,,,,,,,1,1,1,,3,4,,,,,,1,2,4,6,,,2,,,,,13,0,80000,0,6,2,5,,,,88,88,1,,,,,,7,3,4,2,7,5,1,0.870925
1,26,25,1,2,60,,,,,,,,,,1,3,,2,7,4,,,,,,1,2,4,6,,,2,,,,,13,0,80000,0,1,,,,,,12,11,1,,,,,,9,5,13,2,6,5,2,1.205843
1,29,28,1,1,21,23,24,25,,,,,,,1,3,,2,7,4,,,,,,2,,,,,,2,,,,,13,0,80000,0,1,,,,,,1,11,1,,,,,,3,6,14,1,2,6,2,1.838018
1,8,7,1,1,29,,,,,,,,,,1,3,,2,3,3,2,,,,,2,,,,,,2,,,,,13,4,80000,20000,1,,,,,,11,4,6,3,,,,,8,4,2,2,10,1,1,0.869301
1,7,6,1,1,2,,,,,,,,,,2,,,,,2,6,,,,,2,,,,,,2,,,,,13,5,80000,25000,7,1,2,4,5,,1,9,1,,,,,,5,6,2,1,10,2,1,1.925672
1,5,4,1,1,13,,,,,,,,,,1,3,,2,2,1,6,,,,,2,,,,,,2,,,,,13,5,80000,25000,10,2,3,,,,8,1,1,,,,,,7,3,5,2,6,10,1,0.550853
1,14,13,1,1,12,,,,,,,,,,1,1,1,,3,2,3,,,,,1,2,3,4,,,2,,,,,13,9,80000,45000,5,2,,,,,6,6,1,,,,,,4,5,5,1,6,13,2,0.684878
1,9,8,1,2,64,,,,,,,,,,1,3,,2,7,1,2,3,,,,2,,,,,,2,,,,,13,13,80000,80000,3,2,65,,,,8,4,1,,,,,,10,5,13,2,9,2,2,0.592301
1,12,11,1,2,60,64,,,,,,,,,1,3,,2,7,1,1,,,,,2,,,,,,2,,,,,13,13,80000,80000,5,2,3,,,,10,12,1,,,,,,9,3,13,2,5,6,2,0.60156
1,10,9,1,2,64,,,,,,,,,,1,1,1,,4,1,3,,,,,2,,,,,,2,,,,,13,13,80000,80000,2,5,,,,,6,1,1,,,,,,6,5,1,2,8,2,2,0.790343
4,14,13,1,1,15,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,14,13,90000,0,3,3,,,,,1,10,1,,,,,,6,5,2,1,8,1,2,1
1,7,6,1,1,1,12,,,,,,,,,3,,,,,4,,,,,,2,,,,,,2,,,,,14,0,90000,0,11,2,4,,,,1,11,1,,,,,,11,5,13,2,10,2,2,0.826267
1,12,11,1,1,12,,,,,,,,,,1,3,,2,4,4,,,,,,1,2,3,4,5,7,2,,,,,14,0,90000,0,7,2,3,,,,8,9,7,4,,,,,6,5,11,2,7,4,2,0.792316
1,15,14,1,1,15,,,,,,,,,,1,1,1,,3,4,,,,,,2,,,,,,2,,,,,14,0,90000,0,1,,,,,,10,6,1,,,,,,6,5,3,2,6,2,1,1.580802
1,5,4,1,1,2,,,,,,,,,,2,,,,,2,3,,,,,1,6,,,,,2,,,,,14,10,90000,51250,9,4,,,,,1,7,1,,,,,,7,5,2,2,10,8,1,0.54933
