no,no_outtrip,vCASEID,season,vq22,vq22a,vq23,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30f,vq30f_1_1,vq30f_1_2,vq30f_1_3,vq30f_1_4,vq30f_1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
3083,154,92203041,1,7,6,1,1,12, , , , , , , , , ,1,3, ,1,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,8,1,6,2,5, , , ,8,10,1,2,3, , , , ,5,6,1,1,9,9,2,1.4264043017048
3305,160,92206730,1,6,5,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,6, , , ,2,99, , , ,9,1,2,5, , , , ,8,8,2,1, , , , , ,3,5,5,1,6,16,2,1.37835478848323
3324,161,92207089,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,22,1,1, , , , , ,1,7,7,5, , , , , ,9,4,11,2,10,20,2,.457134714206367
3523,169,92210555,1,6,5,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,10,1,1, , , , , ,9,11,1,1, , , , , ,4,5,4,1,7,9,1,1.12698350419969
3572,170,92211344,1,9,8,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,12,1,8,1,2,3, , ,88,88,1,1, , , , , ,7,2,4,2,6,18,1,.710603017612876
3673,174,92212877,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,9,4, , , , , ,1,4,6, , , ,2,99, , , ,7,1,1, , , , , ,8,14,1,2,4, , , , ,4,6,3,1,8,16,1,1.12473841142871
3713,176,92213825,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,6,4, , , , , ,2, , , , , ,2,99, , , ,15,1,1, , , , , ,12,10,1,1, , , , , ,6,4,4,1,6,16,1,1.04952491455404
3768,177,92214944,1,8,7,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4,6, ,2,99, , , ,11,1,1, , , , , ,1,3,2,1, , , , , ,8,5,11,2,8,20,2,.601298849922923
3848,179,92216610,1,12,11,1,2,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,4, , , ,2,99, , , ,14,1,11,2, , , , ,13,12,1,1, , , , , ,6,3,9,2,6,10,2,.89481271525043
4020,187,92219448,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,1,2,4,7, ,2,99, , , ,9,1,1, , , , , ,88,4,1,1, , , , , ,11,4,13,4,6,20,1,.505033401515037
4173,192,92222234,1,8,7,1,2,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,12,1,88,1, , , , ,1,11,1,1, , , , , ,4,6,5,2,7,15,2,1.01741531860756
4347,202,92225494,1,6,5,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,1,2,3,4,5,2,99, , , ,8,1,1, , , , , ,88,88,1,1, , , , , ,11,3,11,3,4,20,2,.568865254792922
4613,211,92230427,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4,6,7,2,99, , , ,10,1,8,2,5, , , ,5,6,1,1, , , , , ,9,3,13,2,6,18,1,.649634419799144
4723,216,92232356,1,9,8,1,1,12, , , , , , , , , ,1,3, ,1,1,4, , , , , ,2, , , , , ,2,99, , , ,12,1,88,2, , , , ,88,88,1,1, , , , , ,2,3,14,1,1,10,2,5.25724366268234
4848,220,92234538,1,6,5,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,5,6,7,2,99, , , ,16,1,5,1,3, , , ,9,1,1,7,3, , , , ,6,6,3,2,10,15,2,.872785836689732
4897,222,92235154,1,10,9,1,2,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,4, , , ,2,99, , , ,6,1,3,5, , , , ,9,10,1,1, , , , , ,5,5,3,2,7,16,1,1.91927839810599
5154,231,92240032,1,11,10,1,2,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,6, ,2,99, , , ,15,1,1, , , , , ,6,7,1,1, , , , , ,6,6,3,2,8,16,1,1.07558413561933
5164,232,92240104,1,5,4,1,1,12, , , , , , , , , ,1,3, ,1,10,4, , , , , ,1,2, , , , ,2,99, , , ,5,1,1, , , , , ,1,6,1,1, , , , , ,3,5,14,1,1,20,1,1.57594502136005
5251,236,92241518,1,4,3,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,1,2,4, , ,2,99, , , ,8,1,1, , , , , ,8,9,1,1, , , , , ,4,5,6,2,7,20,2,1.07629105164997
5254,237,92241549,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,1, , , , ,2,99, , , ,8,1,88,2, , , , ,88,12,1,1, , , , , ,6,6,3,2,10,20,2,.871414571020697
5314,240,92242867,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,1, , , , , ,11,6,1,1, , , , , ,10,3,11,2,3,20,2,.503893754738115
5397,244,92244650,1,8,7,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,4, , , ,2,99, , , ,11,1,13,1,2,3,5, ,11,1,1,1, , , , , ,8,5,5,2,9,20,2,.601298849922923
5690,255,92250739,1,6,5,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,6, ,2,99, , , ,11,1,6,1,5, , , ,9,3,1,1, , , , , ,4,5,1,1,8,16,2,1.01370533079385
5739,257,92251827,1,15,14,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,14,1,6,2,3, , , ,8,11,1,1, , , , , ,7,3,7,2,5,7,2,.61517251616522
5814,259,92253341,1,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,7, , ,2,99, , , ,14,1,4,65, , , , ,1,8,1,1, , , , , ,7,6,3,2,10,15,1,.702118888631275
5846,261,92254191,1,3,2,1,1,12, , , , , , , , , ,1,3, ,2,10,4, , , , , ,1,2,4, , , ,2,99, , , ,6,1,1, , , , , ,1,7,1,1, , , , , ,5,5,6,2,9,20,1,1.1729554555554
5989,273,92257601,1,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,7,1,1, , , , , ,1,1,1,1, , , , , ,7,3,11,2,10,16,2,.557001106813261
6040,275,92258604,1,9,8,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,3, , , , ,2,99, , , ,8,1,4,4, , , , ,1,4,1,1, , , , , ,6,3,4,2,5,16,1,1.07558413561933
6276,286,92100833,2,9,8,1,1,12, , , , , , , , , ,1,3, ,2,11,4, , , , , ,2, , , , , ,2,99, , , ,10,1,1, , , , , ,11,9,1,1, , , , , ,7,5,4,2,9,1,1,1.41522201156662
6363,295,92103395,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,10,4, , , , , ,1,2,4,6, , ,2,99, , , ,8,1,6,4, , , , ,1,1,1,1, , , , , ,4,5,14,1,3,19,1,1.53540398273974
6370,296,92103581,2,3,2,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,4, , , , ,2,99, , , ,6,1,1, , , , , ,6,7,1,1, , , , , ,7,5,5,2,5,19,2,.708798288215187
6425,301,92104745,2,12,11,1,2,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,11,1,6,4, , , , ,1,2,1,1, , , , , ,11,3,11,2,2,1,2,.645345975633429
6430,302,92104887,2,5,4,1,2,12, , , , , , , , , ,1,3, ,2,11,4, , , , , ,1,2,3, , , ,2,99, , , ,5,1,1, , , , , ,1,2,1,1, , , , , ,5,4,5,2,6,1,2,1.23907981859715
6437,303,92105063,2,16,15,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,4, , , ,2,99, , , ,17,1,1, , , , , ,1,1,1,1, , , , , ,8,4,13,2,6,3,2,.81682127387229
6443,304,92105168,2,3,2,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,4, , , ,2,99, , , ,5,1,1, , , , , ,1,5,1,1, , , , , ,6,5,4,1,6,1,1,1.2360228722184
6481,307,92106103,2,11,10,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,5,6, ,2,99, , , ,11,1,1, , , , , ,9,1,1,1, , , , , ,8,3,11,2,5,3,2,.81682127387229
6532,311,92107166,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,10,1,1, , , , , ,11,9,1,1, , , , , ,10,2,13,2,4,3,1,.583362448493343
6848,339,92115262,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,1, , , , , ,1,8,1,1, , , , , ,5,5,11,2,5,19,2,1.31621851108515
6991,345,92119331,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,5,6,2,99, , , ,10,1,1, , , , , ,1,3,1,1, , , , , ,7,3,11,3,10,19,2,.523610141254366
7015,348,92119876,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,7,1,1, , , , , ,9,8,1,1, , , , , ,9,2,13,4,5,19,2,.410694168141845
7051,350,92120808,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,6,7, ,2,99, , , ,5,1,1, , , , , ,1,1,1,1, , , , , ,5,5,4,2,8,1,1,2.5982497397096
7146,356,92123563,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,11,1,1, , , , , ,9,1,1,1, , , , , ,7,3,4,2,6,3,1,.788887192951223
7253,366,92126312,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,10,4, , , , , ,1,2,3,4,6, ,2,99, , , ,6,1,12,1,2,3, , ,7,6,1,1, , , , , ,6,5,11,2,2,1,2,.676697580583341
7309,371,92128003,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,4, , , , ,2,99, , , ,8,1,5,2, , , , ,5,3,1,1, , , , , ,9,2,13,2,8,3,2,.371585570840313
7338,375,92128650,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,6, , ,2,99, , , ,6,1,1, , , , , ,1,2,1,1, , , , , ,3,5,3,1,5,3,2,.907066662312459
7376,377,92130014,2,5,4,1,2,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,4, , , ,2,99, , , ,5,1,1, , , , , ,7,7,1,1, , , , , ,6,4,3,2,8,19,1,.969930480580198
7377,378,92130018,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4, , ,2,99, , , ,12,1,1, , , , , ,8,7,1,1, , , , , ,10,4,13,2,5,1,2,.32100103977304
7404,381,92130862,2,7,6,1,2,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,5,6,2,99, , , ,9,1,1, , , , , ,1,3,1,1, , , , , ,7,5,11,2,7,1,2,.631949597557468
7421,386,92131462,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,1,6, , , ,2,99, , , ,8,1,1, , , , , ,10,6,1,1, , , , , ,6,6,3,2,10,3,1,1.12508158436351
7655,399,92138775,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,4,7, , , ,2,99, , , ,8,1,1, , , , , ,9,9,1,1, , , , , ,3,5,12,1,2,19,1,2.0843313857605
7674,400,92139675,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,4, , , ,2,99, , , ,10,1,1, , , , , ,9,9,1,1, , , , , ,11,4,3,2,7,19,1,.606862449894533
7758,410,92143108,2,3,2,1,1,12, , , , , , , , , ,1,3, ,2,5,4, , , , , ,2, , , , , ,2,99, , , ,4,1,1, , , , , ,1,4,1,1, , , , , ,9,5,13,2,8,6,1,.813504672588912
7801,415,92144473,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,1, , , , , ,11,1,1,1, , , , , ,6,5,5,2,8,1,2,.676697580583341
7899,422,92148448,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,6, ,2,99, , , ,5,1,1, , , , , ,8,9,1,1, , , , , ,5,6,14,1,6,2,2,1.57352756804359
7951,429,92201125,2,6,5,1,2,12, , , , , , , , , ,1,3, ,2,5,4, , , , , ,1,2,3,4,6,7,2,99, , , ,5,1,5,1,5, , , ,4,4,1,1, , , , , ,5,5,7,2,6,5,1,3.29587414808828
8003,435,92202448,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4, , ,2,99, , , ,5,1,1, , , , , ,9,7,1,1, , , , , ,6,5,1,2,9,18,1,.927460698452504
8258,448,92210207,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,5,6,2,99, , , ,7,1,1, , , , , ,1,1,1,1, , , , , ,7,3,6,2,4,18,2,.500683128376472
8407,455,92214512,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2, , , , ,2,99, , , ,7,1,12,4, , , , ,1,13,1,1, , , , , ,9,5,11,2,5,18,2,.392711341340006
8599,469,92220743,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,7, , ,2,99, , , ,6,1,5,5, , , , ,9,10,1,1, , , , , ,6,5,8,2,7,17,1,1.24995493993369
8650,472,92222433,2,4,3,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,6,7,2,99, , , ,6,1,1, , , , , ,5,9,1,1, , , , , ,4,5,5,1,7,16,2,1.30903599799495
8852,486,92228741,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4,5,6,2,99, , , ,14,1,1, , , , , ,8,7,1,1, , , , , ,5,3,4,2,8,16,1,3.12327632450151
8954,493,92232081,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,5,4, , , , , ,1,2,4,6,7, ,2,99, , , ,4,1,1, , , , , ,5,9,1,1, , , , , ,6,5,3,2,8,5,1,1.15824817378451
9330,514,92243279,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,3,4,6, ,2,99, , , ,11,1,6,1,2,5, , ,8,3,1,1, , , , , ,4,5,12,1,4,20,2,1.02943517094588
9429,519,92246507,2,10,9,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,2, , , , , ,2,99, , , ,13,1,1, , , , , ,10,11,1,1, , , , , ,8,4,11,2,7,18,2,.863260049016517
9579,527,92251802,2,13,12,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4,5,6,2,99, , , ,10,1,1, , , , , ,11,8,1,1, , , , , ,8,6,3,2,10,15,1,1.41200592886994
9584,528,92252016,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4,6, ,2,99, , , ,8,1,4,2,3,5, , ,1,8,1,1, , , , , ,11,5,13,2,2,16,2,.350946030272653
9623,533,92253528,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,10,1,4,1,5, , , ,8,7,1,1, , , , , ,4,5,5,1,5,10,2,1.03436368228524
9721,541,92257396,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,1,2,3,4,6,2,99, , , ,9,1,1, , , , , ,8,10,1,1, , , , , ,4,5,3,1,8,16,1,1.73749462040516
9973,553,93101566,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,1,3, , , ,1,1,3, , ,10,1,1, , , , , ,4,1,2,1, , , , , ,4,5,2,2,5,1,2,1.03359265520499
9977,554,93101624,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,6, ,2,99, , , ,7,1,1, , , , , ,10,3,1,1, , , , , ,3,5,4,1,5,14,2,1.27447476505315
10013,555,93102140,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2, , , , ,2,99, , , ,11,1,1, , , , , ,7,9,1,1, , , , , ,8,3,10,3,5,1,2,.631949597557468
10041,557,93102508,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,10,1,1, , , , , ,11,7,1,1, , , , , ,11,1,13,2,6,19,1,.473355211451641
10285,574,93106612,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,2, , , , , ,2,99, , , ,10,1,1, , , , , ,9,10,1,1, , , , , ,9,4,13,2,4,1,2,.386624903900309
10296,577,93106798,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,3,4,5,6,2,99, , , ,8,1,5,1,3,4,5, ,11,9,1,1, , , , , ,6,3,11,2,6,1,2,.527826901139639
10333,584,93107527,2,3,2,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,2, , , , , ,2,99, , , ,6,1,1, , , , , ,1,1,1,1, , , , , ,11,2,13,4,4,19,2,.538216790644901
10333,585,93107527,2,4,3,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,2, , , , , ,2,99, , , ,6,1,1, , , , , ,1,1,1,1, , , , , ,11,2,13,4,4,19,2,.688527825711513
10389,590,93108596,2,7,6,1,2,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4,6, ,2,99, , , ,7,1,4,1,4,5, , ,9,4,1,1, , , , , ,5,5,12,2,3,6,1,3.11674961193553
10408,591,93108930,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,4, , , ,2,99, , , ,15,1,1, , , , , ,1,5,1,1, , , , , ,4,5,5,1,5,19,1,1.53540398273974
10530,602,93111180,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,1, , , , , ,11,11,1,1, , , , , ,6,3,6,2,10,19,1,1.24349404724451
10587,607,93112078,2,5,4,1,2,12, , , , , , , , , ,1,3, ,2,10,4, , , , , ,1,2,4,6, , ,2,99, , , ,8,1,1, , , , , ,1,2,1,1, , , , , ,4,5,6,1,6,1,2,.806206529905497
10591,608,93112194,2,15,14,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4,6,7, ,2,99, , , ,12,1,1, , , , , ,11,7,1,1, , , , , ,9,4,13,2,7,2,2,.515035751506067
10780,621,93115668,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,9,1,1, , , , , ,1,1,1,1, , , , , ,10,3,13,2,2,3,2,.395529207061011
10792,624,93115960,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,1,2,4,6, ,2,99, , , ,11,1,1, , , , , ,7,1,1,1, , , , , ,5,5,5,2,7,3,2,1.52676221385933
10847,626,93117331,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,2, , , , , ,2,99, , , ,10,1,1, , , , , ,8,11,1,1, , , , , ,4,5,4,1,9,1,1,1.853092315317
10881,629,93118340,2,3,2,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,2, , , , , ,2,99, , , ,14,1,1, , , , , ,1,12,1,1, , , , , ,5,6,4,1,8,1,1,3.5171873551759
10928,632,93119314,2,15,14,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,2, , , , , ,2,99, , , ,11,1,1, , , , , ,1,4,1,1, , , , , ,11,3,11,2,2,19,2,.685521873921496
10958,633,93120136,2,24,23,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,13,1,1, , , , , ,9,3,1,1, , , , , ,6,5,5,1,10,3,2,1.24182794913551
11106,643,93201628,2,9,8,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,12,1,1, , , , , ,8,1,1,1, , , , , ,9,4,13,3,9,4,2,.501463859380507
11170,647,93202800,2,10,9,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,7,1,1, , , , , ,1,1,1,1, , , , , ,11,3,11,4,5,9,2,.620373919379279
11174,649,93202895,2,21,20,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,3,4,6, ,2,99, , , ,20,1,1, , , , , ,10,1,1,1, , , , , ,8,5,13,2,10,15,2,1.20390488624733
11178,650,93202947,2,10,9,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,1,2,3,4,5,2,99, , , ,22,1,1, , , , , ,12,1,1,1, , , , , ,7,6,3,2,10,4,1,1.36489362750273
11249,655,93204070,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3, , , ,2,99, , , ,6,1,1, , , , , ,8,5,1,1, , , , , ,6,5,6,1,6,16,2,.494900547401151
11263,657,93204245,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,5, ,2,99, , , ,11,1,1, , , , , ,9,1,1,1, , , , , ,4,6,5,1,8,20,2,1.02943517094588
11267,659,93204319,2,10,9,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4, , ,2,99, , , ,20,1,1, , , , , ,1,12,1,1, , , , , ,8,6,5,2,9,18,2,.863260049016517
11267,658,93204319,2,10,9,1,2,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,3,4, , ,2,99, , , ,20,1,1, , , , , ,1,12,1,1, , , , , ,8,6,5,2,9,18,2,.863260049016517
11269,660,93204327,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2, , , , ,2,99, , , ,9,1,2,1, , , , ,8,7,1,1, , , , , ,6,3,8,1,7,20,1,1.16590881854609
11334,663,93205549,2,20,19,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,6, , , ,2,99, , , ,8,1,1, , , , , ,10,7,1,1, , , , , ,5,5,3,1,7,16,2,2.84398034165545
11352,668,93205965,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,10,4, , , , , ,1,2,3,4,6,7,2,99, , , ,8,1,2,2,3, , , ,1,1,1,1, , , , , ,6,4,2,2,10,16,1,1.09759321398135
11362,669,93206169,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4, , ,2,99, , , ,12,1,1, , , , , ,1,7,1,1, , , , , ,5,5,6,2,9,9,1,2.4977088808336
11436,673,93207350,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,5,4, , , , ,9,10,1,1, , , , , ,5,5,3,1,9,16,2,1.48945984769911
11494,679,93208198,2,8,7,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,8,1,1, , , , , ,7,6,1,1, , , , , ,4,6,14,2,8,18,2,1.04986397391874
11663,694,93210975,2,9,8,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,3,4,6, ,2,99, , , ,12,1,7,1,2, , , ,1,10,1,1, , , , , ,6,5,5,2,8,16,2,.853289928488621
11694,698,93211665,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,3,4, , ,2,99, , , ,8,1,1, , , , , ,1,2,1,1, , , , , ,6,6,11,2,7,16,2,.494900547401151
11704,700,93211826,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,3, , , , ,2,99, , , ,9,1,5,2,5, , , ,9,9,1,1, , , , , ,4,5,5,1,6,16,2,.969116143467328
11738,702,93212316,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,7,4, , , , , ,2, , , , , ,2,99, , , ,10,1,3,1, , , , ,1,10,1,3,4, , , , ,4,5,6,1,6,16,1,1.35525296314001
11936,712,93215651,2,6,5,1,1,12, , , , , , , , , ,1,3, ,2,6,4, , , , , ,1,3, , , , ,2,99, , , ,7,1,1, , , , , ,7,9,1,1, , , , , ,6,4,5,2,6,7,2,.598601452254767
12053,724,93217530,2,12,11,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,2,4,7, , ,2,99, , , ,19,1,1, , , , , ,9,9,1,1, , , , , ,6,5,3,2,10,16,1,1.4761041309006
12088,728,93218104,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,1,4, , , , , ,1,2,4, , , ,2,99, , , ,6,1,1, , , , , ,7,6,1,1, , , , , ,6,5,4,1,7,18,2,.536136209154633
12091,730,93218186,2,19,17,1,2,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,9,1,4,4, , , , ,9,10,1,1, , , , , ,4,5,6,1,7,20,2,1.96560746078618
12127,735,93219096,2,7,6,1,1,12, , , , , , , , , ,1,3, ,2,9,4, , , , , ,1,2,4,6, , ,2,99, , , ,7,1,1, , , , , ,8,4,1,1, , , , , ,5,5,3,1,7,5,1,3.29587414808828
12241,741,93221788,2,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,8,1,5,2, , , , ,7,9,1,1, , , , , ,6,5,4,2,8,16,2,.494900547401151
12299,743,92100418,3,7,6,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,2, , , , , ,2,99, , , ,13,1,1, , , , , ,11,8,1,1, , , , , ,11,3,13,2,2,3,1,.362284879511602
12376,753,92103325,3,5,4,1,1,12, , , , , , , , , ,1,3, ,2,3,4, , , , , ,1,2,4, , , ,2,99, , , ,10,1,1, , , , , ,8,9,1,1, , , , , ,11,5,13,2,9,1,2,.468711347045193
12383,754,92103661,3,5,4,1,1,12, , , , , , , , , ,1,3, ,2,8,4, , , , , ,1,2,3,4, , ,2,99, , , ,13,1,1, , , , , ,1,4,1,1, , , , , ,5,6,3,1,10,19,2,1.29726845310883
12478,766,92106445,3,5,4,1,2,12, , , , , , , , , ,1,3, ,1,4,4, , , , , ,1,2, , , , ,2,99, , , ,7,1,5,2, , , , ,1,1,1,1, , , , , ,6,6,1,2,8,3,1,.797465606216326
12511,770,92107656,3,7,6,1,1,12, , , , , , , , , ,1,3, ,2,4,4, , , , , ,1,1,2, , , ,2,99, , , ,10,1,1, , , , , ,8,9,1,1, , , , , ,6,6,1,2,6,1,2,.622742107122081
12571,778,92109602,3,14,13,1,1,12, , , , , , , , , ,1,3, ,1,4,4, , , , , ,1,1,2,3,4,5,2,99, , , ,13,1,4,1,2,5, , ,8,4,1,1, , , , , ,7,6,3,2,9,6,2,.714406690582881
